PROBLEM_KEY,dist,seed,accuracy,precision,recall,f1,auc,aupr,outlier_ratio_ref,outlier_ratio_que,time_taken
ref_0_que_1,braycurtis,200.0000 ± 196.3243,0.8353 ± 0.0030,0.7826 ± 0.0038,0.9611 ± 0.0015,0.8627 ± 0.0022,0.9165 ± 0.0038,0.9062 ± 0.0067,0.0333 ± 0.0084,0.6610 ± 0.0037,19.3318 ± 0.5347
ref_0_que_1,canberra,200.0000 ± 196.3243,0.8196 ± 0.0090,0.7646 ± 0.0106,0.9606 ± 0.0032,0.8514 ± 0.0062,0.9052 ± 0.0020,0.8696 ± 0.0039,0.0515 ± 0.0040,0.6762 ± 0.0104,21.2853 ± 0.6748
ref_0_que_1,chebyshev,200.0000 ± 196.3243,0.8436 ± 0.0035,0.7941 ± 0.0068,0.9578 ± 0.0053,0.8683 ± 0.0020,0.9507 ± 0.0005,0.9591 ± 0.0004,0.0273 ± 0.0032,0.6492 ± 0.0091,18.0558 ± 0.5900
ref_0_que_1,cityblock,200.0000 ± 196.3243,0.8460 ± 0.0031,0.7975 ± 0.0047,0.9569 ± 0.0019,0.8700 ± 0.0020,0.9501 ± 0.0006,0.9579 ± 0.0005,0.0262 ± 0.0038,0.6458 ± 0.0050,18.6288 ± 0.6803
ref_0_que_1,cosine,200.0000 ± 196.3243,0.8144 ± 0.0023,0.7584 ± 0.0026,0.9614 ± 0.0027,0.8479 ± 0.0017,0.9115 ± 0.0020,0.8986 ± 0.0089,0.0347 ± 0.0008,0.6823 ± 0.0034,17.8522 ± 0.9345
ref_0_que_1,euclidean,200.0000 ± 196.3243,0.8427 ± 0.0017,0.7921 ± 0.0029,0.9595 ± 0.0024,0.8678 ± 0.0010,0.9507 ± 0.0008,0.9589 ± 0.0006,0.0285 ± 0.0005,0.6520 ± 0.0039,19.0401 ± 0.6033
ref_0_que_1,mae,200.0000 ± 196.3243,0.8460 ± 0.0031,0.7975 ± 0.0047,0.9569 ± 0.0019,0.8700 ± 0.0020,0.9501 ± 0.0006,0.9579 ± 0.0005,0.0262 ± 0.0038,0.6458 ± 0.0050,53.6089 ± 0.7735
ref_0_que_1,mahalanobis,200.0000 ± 196.3243,0.8712 ± 0.0028,0.8633 ± 0.0053,0.9039 ± 0.0022,0.8831 ± 0.0021,0.9481 ± 0.0008,0.9573 ± 0.0005,0.0279 ± 0.0026,0.5635 ± 0.0046,62.0737 ± 1.2899
ref_0_que_1,minkowski,200.0000 ± 196.3243,0.8427 ± 0.0017,0.7921 ± 0.0029,0.9595 ± 0.0024,0.8678 ± 0.0010,0.9507 ± 0.0008,0.9589 ± 0.0006,0.0285 ± 0.0005,0.6520 ± 0.0039,19.3877 ± 0.6526
ref_0_que_1,mse,200.0000 ± 196.3243,0.8427 ± 0.0017,0.7921 ± 0.0029,0.9595 ± 0.0024,0.8678 ± 0.0010,0.9507 ± 0.0008,0.9589 ± 0.0006,0.0285 ± 0.0005,0.6520 ± 0.0039,48.0470 ± 0.7150
ref_0_que_1,seuclidean,200.0000 ± 196.3243,0.8713 ± 0.0017,0.8616 ± 0.0013,0.9066 ± 0.0048,0.8835 ± 0.0019,0.9482 ± 0.0006,0.9573 ± 0.0003,0.0260 ± 0.0015,0.5663 ± 0.0037,22.8249 ± 0.8279
ref_0_que_1,sqeuclidean,200.0000 ± 196.3243,0.8427 ± 0.0017,0.7921 ± 0.0029,0.9595 ± 0.0024,0.8678 ± 0.0010,0.9507 ± 0.0008,0.9589 ± 0.0006,0.0285 ± 0.0005,0.6520 ± 0.0039,18.8614 ± 0.5338
ref_0_que_1-7,braycurtis,200.0000 ± 196.3243,0.8135 ± 0.0024,0.8325 ± 0.0044,0.7608 ± 0.0119,0.7950 ± 0.0045,0.8890 ± 0.0002,0.8714 ± 0.0032,0.0305 ± 0.0029,0.4345 ± 0.0091,42.2320 ± 0.8041
ref_0_que_1-7,canberra,200.0000 ± 196.3243,0.7881 ± 0.0016,0.8238 ± 0.0052,0.7052 ± 0.0083,0.7599 ± 0.0031,0.8495 ± 0.0003,0.8229 ± 0.0007,0.0617 ± 0.0047,0.4071 ± 0.0072,46.8012 ± 1.1946
ref_0_que_1-7,chebyshev,200.0000 ± 196.3243,0.8178 ± 0.0017,0.8090 ± 0.0041,0.8074 ± 0.0067,0.8082 ± 0.0023,0.9018 ± 0.0006,0.9031 ± 0.0006,0.0336 ± 0.0024,0.4746 ± 0.0060,39.3034 ± 0.3214
ref_0_que_1-7,cityblock,200.0000 ± 196.3243,0.8172 ± 0.0022,0.8064 ± 0.0038,0.8099 ± 0.0088,0.8081 ± 0.0033,0.9013 ± 0.0004,0.9018 ± 0.0012,0.0338 ± 0.0021,0.4775 ± 0.0070,37.6905 ± 0.6640
ref_0_que_1-7,cosine,200.0000 ± 196.3243,0.8258 ± 0.0008,0.8276 ± 0.0021,0.8003 ± 0.0023,0.8137 ± 0.0008,0.8951 ± 0.0008,0.8785 ± 0.0011,0.0326 ± 0.0010,0.4598 ± 0.0023,36.3153 ± 0.7453
ref_0_que_1-7,euclidean,200.0000 ± 196.3243,0.8167 ± 0.0014,0.8073 ± 0.0041,0.8072 ± 0.0055,0.8073 ± 0.0016,0.9013 ± 0.0006,0.9025 ± 0.0009,0.0337 ± 0.0024,0.4754 ± 0.0054,38.3655 ± 0.5275
ref_0_que_1-7,mae,200.0000 ± 196.3243,0.8172 ± 0.0022,0.8064 ± 0.0038,0.8099 ± 0.0088,0.8081 ± 0.0033,0.9013 ± 0.0004,0.9018 ± 0.0012,0.0338 ± 0.0021,0.4775 ± 0.0070,121.4039 ± 5.6463
ref_0_que_1-7,mahalanobis,200.0000 ± 196.3243,0.7941 ± 0.0010,0.8908 ± 0.0026,0.6460 ± 0.0014,0.7489 ± 0.0010,0.8773 ± 0.0009,0.8860 ± 0.0003,0.0346 ± 0.0027,0.3448 ± 0.0015,123.6867 ± 2.2764
ref_0_que_1-7,minkowski,200.0000 ± 196.3243,0.8167 ± 0.0014,0.8073 ± 0.0041,0.8072 ± 0.0055,0.8073 ± 0.0016,0.9013 ± 0.0006,0.9025 ± 0.0009,0.0337 ± 0.0024,0.4754 ± 0.0054,35.6408 ± 0.4301
ref_0_que_1-7,mse,200.0000 ± 196.3243,0.8167 ± 0.0014,0.8073 ± 0.0041,0.8072 ± 0.0055,0.8073 ± 0.0016,0.9013 ± 0.0006,0.9025 ± 0.0009,0.0337 ± 0.0024,0.4754 ± 0.0054,109.0466 ± 2.3875
ref_0_que_1-7,seuclidean,200.0000 ± 196.3243,0.8022 ± 0.0023,0.8541 ± 0.0063,0.7044 ± 0.0128,0.7720 ± 0.0052,0.8783 ± 0.0010,0.8868 ± 0.0006,0.0334 ± 0.0023,0.3922 ± 0.0100,41.2204 ± 0.9093
ref_0_que_1-7,sqeuclidean,200.0000 ± 196.3243,0.8167 ± 0.0014,0.8073 ± 0.0041,0.8072 ± 0.0055,0.8073 ± 0.0016,0.9013 ± 0.0006,0.9025 ± 0.0009,0.0337 ± 0.0024,0.4754 ± 0.0054,34.8803 ± 0.3663
ref_0_que_1hr,braycurtis,200.0000 ± 196.3243,0.7149 ± 0.0094,0.5729 ± 0.0086,0.9720 ± 0.0050,0.7208 ± 0.0057,0.8832 ± 0.0085,0.7541 ± 0.0192,0.0501 ± 0.0038,0.6426 ± 0.0128,16.9304 ± 0.8284
ref_0_que_1hr,canberra,200.0000 ± 196.3243,0.7232 ± 0.0059,0.5830 ± 0.0066,0.9457 ± 0.0099,0.7213 ± 0.0026,0.8674 ± 0.0026,0.7623 ± 0.0062,0.0596 ± 0.0045,0.6143 ± 0.0130,18.7143 ± 0.4443
ref_0_que_1hr,chebyshev,200.0000 ± 196.3243,0.7390 ± 0.0073,0.5952 ± 0.0070,0.9722 ± 0.0015,0.7383 ± 0.0054,0.9211 ± 0.0020,0.8588 ± 0.0045,0.0312 ± 0.0011,0.6186 ± 0.0074,15.4143 ± 0.3547
ref_0_que_1hr,cityblock,200.0000 ± 196.3243,0.7340 ± 0.0097,0.5904 ± 0.0094,0.9724 ± 0.0025,0.7347 ± 0.0068,0.9126 ± 0.0018,0.8214 ± 0.0040,0.0352 ± 0.0044,0.6237 ± 0.0110,15.3844 ± 1.3733
ref_0_que_1hr,cosine,200.0000 ± 196.3243,0.6868 ± 0.0033,0.5482 ± 0.0027,0.9838 ± 0.0006,0.7041 ± 0.0023,0.8518 ± 0.0128,0.7047 ± 0.0346,0.0436 ± 0.0024,0.6795 ± 0.0030,14.2378 ± 0.6890
ref_0_que_1hr,euclidean,200.0000 ± 196.3243,0.7363 ± 0.0087,0.5926 ± 0.0083,0.9726 ± 0.0006,0.7364 ± 0.0064,0.9166 ± 0.0021,0.8408 ± 0.0055,0.0324 ± 0.0011,0.6215 ± 0.0090,15.5818 ± 0.5752
ref_0_que_1hr,mae,200.0000 ± 196.3243,0.7340 ± 0.0097,0.5904 ± 0.0094,0.9724 ± 0.0025,0.7347 ± 0.0068,0.9126 ± 0.0018,0.8214 ± 0.0040,0.0352 ± 0.0044,0.6237 ± 0.0110,47.5252 ± 0.6591
ref_0_que_1hr,mahalanobis,200.0000 ± 196.3243,0.8118 ± 0.0038,0.6826 ± 0.0058,0.9403 ± 0.0074,0.7910 ± 0.0032,0.9146 ± 0.0024,0.8368 ± 0.0056,0.0349 ± 0.0038,0.5217 ± 0.0076,51.5697 ± 0.4602
ref_0_que_1hr,minkowski,200.0000 ± 196.3243,0.7363 ± 0.0087,0.5926 ± 0.0083,0.9726 ± 0.0006,0.7364 ± 0.0064,0.9166 ± 0.0021,0.8408 ± 0.0055,0.0324 ± 0.0011,0.6215 ± 0.0090,15.1728 ± 0.2049
ref_0_que_1hr,mse,200.0000 ± 196.3243,0.7363 ± 0.0087,0.5926 ± 0.0083,0.9726 ± 0.0006,0.7364 ± 0.0064,0.9166 ± 0.0021,0.8408 ± 0.0055,0.0324 ± 0.0011,0.6215 ± 0.0090,44.8822 ± 1.3721
ref_0_que_1hr,seuclidean,200.0000 ± 196.3243,0.8008 ± 0.0040,0.6669 ± 0.0058,0.9474 ± 0.0055,0.7827 ± 0.0029,0.9154 ± 0.0023,0.8386 ± 0.0050,0.0348 ± 0.0034,0.5380 ± 0.0073,17.8946 ± 0.3043
ref_0_que_1hr,sqeuclidean,200.0000 ± 196.3243,0.7363 ± 0.0087,0.5926 ± 0.0083,0.9726 ± 0.0006,0.7364 ± 0.0064,0.9166 ± 0.0021,0.8408 ± 0.0055,0.0324 ± 0.0011,0.6215 ± 0.0090,14.8778 ± 0.4521
ref_0_que_3,braycurtis,200.0000 ± 196.3243,0.7768 ± 0.0342,0.6658 ± 0.0533,0.9114 ± 0.0476,0.7679 ± 0.0219,0.9042 ± 0.0039,0.8323 ± 0.0275,0.0542 ± 0.0081,0.5905 ± 0.0172,13.4329 ± 0.5130
ref_0_que_3,canberra,200.0000 ± 196.3243,0.5963 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.8235 ± 0.0063,0.7423 ± 0.0148,0.1114 ± 0.0041,0.5141 ± 0.0139,14.5978 ± 0.7433
ref_0_que_3,chebyshev,200.0000 ± 196.3243,0.7654 ± 0.0046,0.6363 ± 0.0057,0.9776 ± 0.0059,0.7709 ± 0.0024,0.9329 ± 0.0024,0.8966 ± 0.0050,0.0369 ± 0.0018,0.6203 ± 0.0092,11.8301 ± 0.2114
ref_0_que_3,cityblock,200.0000 ± 196.3243,0.7581 ± 0.0128,0.6285 ± 0.0135,0.9812 ± 0.0045,0.7662 ± 0.0088,0.9321 ± 0.0025,0.8942 ± 0.0043,0.0404 ± 0.0051,0.6305 ± 0.0161,11.1541 ± 0.2084
ref_0_que_3,cosine,200.0000 ± 196.3243,0.6738 ± 0.0145,0.5540 ± 0.0112,0.9880 ± 0.0043,0.7098 ± 0.0084,0.8136 ± 0.0303,0.6541 ± 0.0497,0.0605 ± 0.0039,0.7202 ± 0.0175,10.8337 ± 0.2939
ref_0_que_3,euclidean,200.0000 ± 196.3243,0.7620 ± 0.0087,0.6327 ± 0.0099,0.9792 ± 0.0069,0.7686 ± 0.0054,0.9324 ± 0.0028,0.8950 ± 0.0055,0.0383 ± 0.0040,0.6250 ± 0.0139,12.0093 ± 0.3735
ref_0_que_3,mae,200.0000 ± 196.3243,0.7581 ± 0.0128,0.6285 ± 0.0135,0.9812 ± 0.0045,0.7662 ± 0.0088,0.9321 ± 0.0025,0.8942 ± 0.0043,0.0404 ± 0.0051,0.6305 ± 0.0161,37.2810 ± 0.7641
ref_0_que_3,mahalanobis,200.0000 ± 196.3243,0.8195 ± 0.0062,0.7175 ± 0.0097,0.9122 ± 0.0076,0.8032 ± 0.0052,0.9283 ± 0.0035,0.8877 ± 0.0059,0.0383 ± 0.0017,0.5133 ± 0.0098,39.7434 ± 0.6557
ref_0_que_3,minkowski,200.0000 ± 196.3243,0.7620 ± 0.0087,0.6327 ± 0.0099,0.9792 ± 0.0069,0.7686 ± 0.0054,0.9324 ± 0.0028,0.8950 ± 0.0055,0.0383 ± 0.0040,0.6250 ± 0.0139,11.7100 ± 0.3081
ref_0_que_3,mse,200.0000 ± 196.3243,0.7620 ± 0.0087,0.6327 ± 0.0099,0.9792 ± 0.0069,0.7686 ± 0.0054,0.9324 ± 0.0028,0.8950 ± 0.0055,0.0383 ± 0.0040,0.6250 ± 0.0139,33.2163 ± 0.7578
ref_0_que_3,seuclidean,200.0000 ± 196.3243,0.8145 ± 0.0072,0.7037 ± 0.0110,0.9341 ± 0.0058,0.8026 ± 0.0052,0.9311 ± 0.0035,0.8927 ± 0.0064,0.0373 ± 0.0012,0.5360 ± 0.0117,13.8113 ± 0.9196
ref_0_que_3,sqeuclidean,200.0000 ± 196.3243,0.7620 ± 0.0087,0.6327 ± 0.0099,0.9792 ± 0.0069,0.7686 ± 0.0054,0.9324 ± 0.0028,0.8950 ± 0.0055,0.0383 ± 0.0040,0.6250 ± 0.0139,11.4289 ± 0.3070
ref_0_que_4hr,braycurtis,200.0000 ± 196.3243,0.7865 ± 0.0031,0.7443 ± 0.0030,0.9968 ± 0.0008,0.8523 ± 0.0018,0.9084 ± 0.0262,0.9276 ± 0.0235,0.0337 ± 0.0008,0.8275 ± 0.0037,12.8064 ± 0.4233
ref_0_que_4hr,canberra,200.0000 ± 196.3243,0.7926 ± 0.0035,0.7502 ± 0.0036,0.9961 ± 0.0013,0.8558 ± 0.0019,0.8608 ± 0.0176,0.8483 ± 0.0128,0.0412 ± 0.0031,0.8204 ± 0.0049,13.3131 ± 0.3426
ref_0_que_4hr,chebyshev,200.0000 ± 196.3243,0.8057 ± 0.0036,0.7643 ± 0.0032,0.9913 ± 0.0013,0.8631 ± 0.0022,0.9467 ± 0.0015,0.9634 ± 0.0009,0.0257 ± 0.0016,0.8014 ± 0.0033,11.8834 ± 0.2648
ref_0_que_4hr,cityblock,200.0000 ± 196.3243,0.7986 ± 0.0036,0.7576 ± 0.0036,0.9913 ± 0.0013,0.8588 ± 0.0021,0.9259 ± 0.0031,0.9456 ± 0.0027,0.0250 ± 0.0008,0.8084 ± 0.0045,10.8510 ± 0.6961
ref_0_que_4hr,cosine,200.0000 ± 196.3243,0.7601 ± 0.0038,0.7226 ± 0.0032,0.9930 ± 0.0007,0.8364 ± 0.0022,0.8906 ± 0.0433,0.9103 ± 0.0490,0.0188 ± 0.0006,0.8491 ± 0.0037,9.9827 ± 0.1559
ref_0_que_4hr,euclidean,200.0000 ± 196.3243,0.7998 ± 0.0042,0.7583 ± 0.0036,0.9925 ± 0.0013,0.8597 ± 0.0026,0.9396 ± 0.0023,0.9584 ± 0.0018,0.0246 ± 0.0007,0.8087 ± 0.0035,12.0992 ± 1.5911
ref_0_que_4hr,mae,200.0000 ± 196.3243,0.7986 ± 0.0036,0.7576 ± 0.0036,0.9913 ± 0.0013,0.8588 ± 0.0021,0.9259 ± 0.0031,0.9456 ± 0.0027,0.0250 ± 0.0008,0.8084 ± 0.0045,35.1041 ± 0.3014
ref_0_que_4hr,mahalanobis,200.0000 ± 196.3243,0.8623 ± 0.0045,0.8267 ± 0.0051,0.9832 ± 0.0022,0.8982 ± 0.0030,0.9466 ± 0.0020,0.9597 ± 0.0023,0.0292 ± 0.0020,0.7348 ± 0.0051,38.3159 ± 0.5453
ref_0_que_4hr,minkowski,200.0000 ± 196.3243,0.7998 ± 0.0042,0.7583 ± 0.0036,0.9925 ± 0.0013,0.8597 ± 0.0026,0.9396 ± 0.0023,0.9584 ± 0.0018,0.0246 ± 0.0007,0.8087 ± 0.0035,11.2566 ± 0.6037
ref_0_que_4hr,mse,200.0000 ± 196.3243,0.7998 ± 0.0042,0.7583 ± 0.0036,0.9925 ± 0.0013,0.8597 ± 0.0026,0.9396 ± 0.0023,0.9584 ± 0.0018,0.0246 ± 0.0007,0.8087 ± 0.0035,33.2448 ± 2.1523
ref_0_que_4hr,seuclidean,200.0000 ± 196.3243,0.8619 ± 0.0047,0.8261 ± 0.0050,0.9835 ± 0.0027,0.8979 ± 0.0032,0.9473 ± 0.0022,0.9610 ± 0.0023,0.0295 ± 0.0006,0.7356 ± 0.0049,12.9643 ± 0.7059
ref_0_que_4hr,sqeuclidean,200.0000 ± 196.3243,0.7998 ± 0.0042,0.7583 ± 0.0036,0.9925 ± 0.0013,0.8597 ± 0.0026,0.9396 ± 0.0023,0.9584 ± 0.0018,0.0246 ± 0.0007,0.8087 ± 0.0035,10.7849 ± 0.5430
